2730.59078100 0.00056562 0.00056562
2730.48156200 0.00038410 0.00038410
2730.37234700 0.00040756 0.00040756
2730.26313700 0.00055045 0.00055045
2730.15393000 0.00058268 0.00058268
2730.04472900 0.00083674 0.00083674
2729.93553100 0.00225813 0.00225813
2729.82633800 0.00195775 0.00195775
2729.71715000 0.00353148 0.00353148
2729.60796500 0.00438293 0.00438293
2729.49878500 0.00141912 0.00141912
2729.38961000 0.00096393 0.00096393
2729.28043800 0.00059265 0.00059265
2729.17127200 0.00031138 0.00031138
2729.06210900 0.00041212 0.00041212
2728.95295100 0.00046177 0.00046177
2728.84379700 0.00021707 0.00021707
2728.73464800 0.00027944 0.00027944
2728.62550300 0.00047167 0.00047167
2728.51636200 0.00027168 0.00027167
2728.40722600 0.00067324 0.00067324
2728.29809400 0.00037935 0.00037935
2728.18896600 0.00037103 0.00037103
2728.07984300 0.00097884 0.00097884
2727.97072400 0.00067903 0.00067903
2727.86161000 0.00057227 0.00057227
2727.75250000 0.00033037 0.00033037
2727.64339400 0.00033883 0.00033883
2727.53429300 0.00053105 0.00053104
2727.42519600 0.00042339 0.00042339
2727.31610300 0.00061250 0.00061250
2727.20701500 0.00086825 0.00086825
2727.09793100 0.00100511 0.00100511
2726.98885100 0.00248520 0.00248520
2726.87977600 0.00654199 0.00654199
2726.77070500 0.00562098 0.00562098
2726.66163900 0.02065724 0.02065720
2726.55257700 0.01516360 0.01516360
2726.44351900 0.00484171 0.00484171
2726.33446600 0.00382120 0.00382120
2726.22541700 0.01074446 0.01074450
2726.11637200 0.01382706 0.01382710
2726.00733200 0.00373004 0.00373004
2725.89829600 0.00231078 0.00231078
2725.78926400 0.00380017 0.00380017
2725.68023700 0.00789209 0.00789209
2725.57121400 0.00263213 0.00263213
2725.46219600 0.00146705 0.00146705
2725.35318100 0.00094861 0.00094861
2725.24417200 0.00060447 0.00060447
2725.13516600 0.00047790 0.00047790
2725.02616500 0.00059539 0.00059539
2724.91716900 0.00058994 0.00058994
2724.80817600 0.00151142 0.00151142
2724.69918800 0.00081774 0.00081774
2724.59020500 0.00061093 0.00061093
2724.48122500 0.00123514 0.00123514
2724.37225100 0.00175755 0.00175755
2724.26328000 0.00134647 0.00134647
2724.15431400 0.00161834 0.00161834
2724.04535200 0.00144630 0.00144630
2723.93639500 0.00287062 0.00287062
2723.82744100 0.01094760 0.01094760
2723.71849300 0.01215578 0.01215580
2723.60954800 0.00527238 0.00527238
2723.50060800 0.00496126 0.00496126
2723.39167300 0.01676250 0.01676250
2723.28274100 0.01877755 0.01877750
2723.17381400 0.00484871 0.00484871
2723.06489200 0.00259705 0.00259705
2722.95597400 0.00272312 0.00272312
