# wavelength_um	value
3.69100405	3.80702940e-01
3.69105678	3.80979250e-01
3.69110951	3.81116700e-01
3.69116224	3.81014250e-01
3.69121497	3.81041930e-01
3.69126770	3.80988710e-01
3.69132043	3.80828860e-01
3.69137316	3.80895710e-01
3.69142590	3.80770260e-01
3.69147863	3.80520460e-01
3.69153137	3.80640810e-01
3.69158410	3.80679990e-01
3.69163684	3.80799180e-01
3.69168958	3.80788120e-01
3.69174232	3.75688220e-01
3.69179506	3.79738160e-01
3.69184780	3.79643250e-01
3.69190054	3.80310290e-01
3.69195328	3.80541240e-01
3.69200602	3.80559740e-01
3.69205876	3.80334140e-01
3.69211151	3.80583980e-01
3.69216425	3.80550250e-01
3.69221700	3.80424950e-01
3.69226974	3.79823580e-01
3.69232249	3.46314190e-01
3.69237524	3.79786000e-01
3.69242798	3.80313220e-01
3.69248073	3.80794600e-01
3.69253348	3.80863090e-01
3.69258623	3.80893130e-01
3.69263899	3.80524140e-01
3.69269174	3.80861790e-01
3.69274449	3.76462350e-01
3.69279724	3.80680340e-01
3.69285000	3.80844160e-01
3.69290275	3.80239710e-01
3.69295551	3.79470950e-01
3.69300826	3.79539440e-01
3.69306102	3.80241480e-01
3.69311378	3.80436960e-01
3.69316654	3.80720690e-01
3.69321930	3.80747410e-01
3.69327206	3.80829860e-01
3.69332482	3.80875920e-01
3.69337758	3.80949780e-01
3.69343034	3.80876860e-01
3.69348311	3.80124950e-01
3.69353587	3.78761110e-01
3.69358864	3.79869020e-01
3.69364140	3.80771010e-01
3.69369417	3.80144010e-01
3.69374694	3.75331700e-01
3.69379970	3.75613910e-01
3.69385247	3.79025070e-01
3.69390524	3.80781850e-01
3.69395801	3.80005690e-01
3.69401078	3.79778580e-01
3.69406355	3.80690280e-01
3.69411633	3.80556530e-01
3.69416910	3.80663360e-01
3.69422187	3.80522260e-01
3.69427465	3.79266880e-01
3.69432742	3.78789910e-01
3.69438020	3.80196370e-01
3.69443298	3.80239210e-01
3.69448575	3.78659430e-01
3.69453853	3.78932270e-01
3.69459131	3.80381140e-01
3.69464409	3.80600260e-01
3.69469687	3.80492080e-01
3.69474965	3.80352970e-01
3.69480243	3.76860960e-01
3.69485522	3.80488060e-01
3.69490800	3.80525420e-01
3.69496079	3.77211050e-01
3.69501357	3.71620970e-01
3.69506636	3.79431760e-01
3.69511914	3.78894790e-01
3.69517193	3.79621600e-01
3.69522472	3.80588030e-01
3.69527751	3.80644640e-01
3.69533030	3.80446720e-01
3.69538309	3.79802470e-01
3.69543588	3.79764220e-01
3.69548867	3.80406480e-01
3.69554146	3.80426910e-01
3.69559426	3.80483270e-01
3.69564705	3.80545320e-01
3.69569985	3.80518790e-01
3.69575264	3.80397550e-01
3.69580544	3.77242610e-01
3.69585824	3.80379330e-01
3.69591103	3.80367100e-01
3.69596383	3.80261620e-01
3.69601663	3.80355620e-01
3.69606943	3.80316480e-01
3.69612223	3.80295550e-01
3.69617503	3.80219940e-01
3.69622784	3.79905910e-01
3.69628064	3.79575500e-01
3.69633344	3.78290010e-01
3.69638625	3.78819910e-01
3.69643906	3.78833230e-01
3.69649186	3.78078670e-01
3.69654467	3.76815710e-01
3.69659748	3.76605560e-01
3.69665029	3.78053270e-01
3.69670309	3.78699310e-01
3.69675590	3.78799830e-01
3.69680871	3.76114970e-01
3.69686153	3.78260630e-01
3.69691434	3.77070280e-01
3.69696715	3.77168980e-01
3.69701997	3.76911880e-01
3.69707278	3.73755250e-01
3.69712560	3.64751020e-01
3.69717841	3.55167870e-01
3.69723123	3.64521180e-01
3.69728405	3.73579020e-01
3.69733686	3.76331240e-01
3.69738968	3.75643460e-01
3.69744250	3.75908070e-01
3.69749532	3.73029630e-01
3.69754814	3.64916970e-01
3.69760097	3.51507160e-01
3.69765379	3.55586570e-01
3.69770661	3.69100270e-01
3.69775944	3.74437550e-01
3.69781226	3.74030700e-01
3.69786509	3.76749540e-01
3.69791792	3.76891530e-01
3.69797074	3.76382970e-01
3.69802357	3.75262500e-01
3.69807640	3.72638900e-01
3.69812923	3.65109720e-01
3.69818206	3.49394160e-01
3.69823489	3.47013450e-01
3.69828772	3.57494310e-01
3.69834056	3.55344820e-01
