# wavelength_um	value
3.67165097	3.81588500e-01
3.67170342	3.80124390e-01
3.67175587	3.26694740e-01
3.67180832	3.81699430e-01
3.67186078	3.81770890e-01
3.67191323	3.81728970e-01
3.67196569	3.81886630e-01
3.67201815	3.82057440e-01
3.67207060	3.82123960e-01
3.67212306	3.82131790e-01
3.67217552	3.82219240e-01
3.67222798	3.82443250e-01
3.67228044	3.82884930e-01
3.67233290	3.82710960e-01
3.67238536	3.83508790e-01
3.67243783	3.83572010e-01
3.67249029	3.83276090e-01
3.67254275	3.83278430e-01
3.67259522	3.81352710e-01
3.67264768	3.29726840e-01
3.67270015	3.82461070e-01
3.67275262	3.83795180e-01
3.67280509	3.83836840e-01
3.67285756	3.83810790e-01
3.67291002	3.83882340e-01
3.67296249	3.83937560e-01
3.67301497	3.83934300e-01
3.67306744	3.83687400e-01
3.67311991	3.83707500e-01
3.67317238	3.83696460e-01
3.67322486	3.83695450e-01
3.67327733	3.83605520e-01
3.67332981	3.83274490e-01
3.67338228	3.82907770e-01
3.67343476	3.81313080e-01
3.67348724	3.83125900e-01
3.67353972	3.83474370e-01
3.67359220	3.83493830e-01
3.67364467	3.42234500e-01
3.67369715	3.57575290e-01
3.67374964	3.70566000e-01
3.67380212	3.83750740e-01
3.67385460	3.83764150e-01
3.67390709	3.83785930e-01
3.67395957	3.79028670e-01
3.67401205	3.83471050e-01
3.67406454	3.83674470e-01
3.67411703	3.83751060e-01
3.67416952	3.83742250e-01
3.67422200	3.83800940e-01
3.67427449	3.82629720e-01
3.67432698	3.83864520e-01
3.67437947	3.83814480e-01
3.67443196	3.83698450e-01
3.67448446	3.83696050e-01
3.67453695	3.83447710e-01
3.67458944	3.83407850e-01
3.67464194	3.80418090e-01
3.67469443	3.83595470e-01
3.67474693	3.83716570e-01
3.67479942	3.83704910e-01
3.67485192	3.83752450e-01
3.67490442	3.83737070e-01
3.67495692	3.83538290e-01
3.67500942	3.62119310e-01
3.67506192	3.82825510e-01
3.67511442	3.41110830e-01
3.67516692	3.81242380e-01
3.67521942	3.82865680e-01
3.67527192	3.83375100e-01
3.67532443	3.83576930e-01
3.67537693	3.83567400e-01
3.67542944	3.83498150e-01
3.67548194	3.74660760e-01
3.67553445	3.70643690e-01
3.67558696	3.53670650e-01
3.67563947	3.79745000e-01
3.67569198	3.83361120e-01
3.67574449	3.83440590e-01
3.67579700	3.82148640e-01
3.67584951	3.83065540e-01
3.67590202	3.83400770e-01
3.67595453	3.82607190e-01
3.67600705	3.83252060e-01
3.67605956	3.52759000e-01
3.67611208	3.79856050e-01
3.67616459	3.82557040e-01
3.67621711	3.82648880e-01
3.67626962	3.72228590e-01
3.67632214	3.82747490e-01
3.67637466	3.82611540e-01
3.67642718	3.81535690e-01
3.67647970	3.82628070e-01
3.67653222	3.82400880e-01
3.67658474	3.81806470e-01
3.67663727	3.77887670e-01
3.67668979	3.80516960e-01
3.67674232	3.75198920e-01
3.67679484	3.75992250e-01
3.67684737	3.72403900e-01
3.67689989	3.60136220e-01
3.67695242	3.43515410e-01
3.67700495	3.49195160e-01
3.67705748	3.64455920e-01
3.67711001	3.71227660e-01
3.67716254	3.72169960e-01
3.67721507	3.75809200e-01
3.67726760	3.79337190e-01
3.67732013	3.80682920e-01
3.67737266	3.81300050e-01
3.67742520	3.81380860e-01
3.67747773	3.80781250e-01
3.67753027	3.82046840e-01
3.67758280	3.81816850e-01
3.67763534	3.79841720e-01
3.67768788	3.79928200e-01
3.67774042	3.82078120e-01
3.67779296	3.82051480e-01
3.67784550	3.81780340e-01
3.67789804	3.79759900e-01
3.67795058	3.80702990e-01
3.67800312	3.80863100e-01
3.67805566	3.71605780e-01
3.67810821	3.72992550e-01
3.67816075	3.81135870e-01
3.67821330	3.70503430e-01
3.67826584	3.80214860e-01
3.67831839	3.79735720e-01
3.67837094	3.78558870e-01
3.67842348	3.77756230e-01
3.67847603	3.75503320e-01
3.67852858	3.72555490e-01
3.67858113	3.66422200e-01
3.67863368	3.53436870e-01
3.67868624	3.29730670e-01
3.67873879	3.21850200e-01
3.67879134	3.35964430e-01
3.67884390	3.53875220e-01
3.67889645	3.63921290e-01
3.67894901	3.69473530e-01
3.67900156	3.73259130e-01
3.67905412	3.75469260e-01
3.67910668	3.76806080e-01
3.67915924	3.77911820e-01
3.67921180	3.78679270e-01
3.67926436	3.79427480e-01
3.67931692	3.69009270e-01
3.67936948	3.80645180e-01
3.67942204	3.80947830e-01
