# ------------------------------------------------------------------------
# NASA-GSFC Planetary Spectrum Generator (PSG, Villanueva et al. 2018, 2022)
# Atmospheric transmittance spectrum synthesized with PUMAS
# Synthesized on Tue May 26 06:38:48 2026
# Radiative transfer took 1.438 seconds
# Spectral unit: Wavelength[nm]
# ------------------------------------------------------------------------
# Wave/freq Total H2O CO2 O3 N2O CO CH4 O2 N2  Rayleigh CIA
2.430575167e+03 9.92523e-01 9.96130e-01 1.00000e+00 9.99994e-01 1.00000e+00 9.99998e-01 9.99652e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96873e-01
2.430583269e+03 9.92064e-01 9.95725e-01 1.00000e+00 9.99921e-01 1.00000e+00 9.99998e-01 9.99670e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96873e-01
2.430591371e+03 9.91148e-01 9.94761e-01 1.00000e+00 9.99976e-01 1.00000e+00 9.99998e-01 9.99660e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96873e-01
2.430599473e+03 9.89927e-01 9.93556e-01 1.00000e+00 9.99997e-01 1.00000e+00 9.99998e-01 9.99619e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96873e-01
2.430607575e+03 9.90399e-01 9.94020e-01 1.00000e+00 9.99996e-01 1.00000e+00 9.99998e-01 9.99630e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96873e-01
2.430615677e+03 9.91721e-01 9.95342e-01 1.00000e+00 9.99974e-01 1.00000e+00 9.99997e-01 9.99657e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96873e-01
2.430623779e+03 9.92530e-01 9.96113e-01 1.00000e+00 9.99997e-01 1.00000e+00 9.99997e-01 9.99674e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96873e-01
2.430631881e+03 9.92898e-01 9.96475e-01 1.00000e+00 9.99999e-01 1.00000e+00 9.99996e-01 9.99682e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96873e-01
2.430639983e+03 9.93075e-01 9.96656e-01 1.00000e+00 9.99998e-01 1.00000e+00 9.99996e-01 9.99679e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96873e-01
2.430648085e+03 9.93150e-01 9.96756e-01 1.00000e+00 9.99981e-01 1.00000e+00 9.99995e-01 9.99672e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96873e-01
2.430656187e+03 9.93215e-01 9.96813e-01 1.00000e+00 9.99996e-01 1.00000e+00 9.99994e-01 9.99666e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96873e-01
2.430664290e+03 9.93233e-01 9.96846e-01 1.00000e+00 9.99999e-01 1.00000e+00 9.99993e-01 9.99650e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96873e-01
2.430672392e+03 9.93201e-01 9.96863e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99991e-01 9.99602e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96873e-01
2.430680494e+03 9.93108e-01 9.96868e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99989e-01 9.99505e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96873e-01
2.430688596e+03 9.93017e-01 9.96865e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99985e-01 9.99421e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96873e-01
2.430696699e+03 9.92923e-01 9.96855e-01 1.00000e+00 9.99999e-01 1.00000e+00 9.99980e-01 9.99341e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96873e-01
2.430704801e+03 9.92915e-01 9.96839e-01 1.00000e+00 9.99999e-01 1.00000e+00 9.99970e-01 9.99360e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96873e-01
2.430712903e+03 9.92946e-01 9.96817e-01 1.00000e+00 9.99997e-01 1.00000e+00 9.99954e-01 9.99431e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96873e-01
2.430721006e+03 9.92925e-01 9.96788e-01 1.00000e+00 9.99955e-01 1.00000e+00 9.99923e-01 9.99512e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96873e-01
2.430729108e+03 9.92920e-01 9.96752e-01 1.00000e+00 9.99989e-01 1.00000e+00 9.99862e-01 9.99571e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96873e-01
2.430737211e+03 9.92810e-01 9.96708e-01 1.00000e+00 9.99999e-01 1.00000e+00 9.99789e-01 9.99567e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96873e-01
2.430745313e+03 9.92762e-01 9.96656e-01 1.00000e+00 9.99999e-01 1.00000e+00 9.99832e-01 9.99527e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96873e-01
2.430753416e+03 9.92758e-01 9.96595e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99904e-01 9.99512e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96873e-01
2.430761518e+03 9.92690e-01 9.96524e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99944e-01 9.99475e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96873e-01
2.430769621e+03 9.92497e-01 9.96439e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99965e-01 9.99345e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96873e-01
2.430777723e+03 9.92078e-01 9.96339e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99976e-01 9.99013e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96873e-01
2.430785826e+03 9.91610e-01 9.96218e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99983e-01 9.98655e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96873e-01
2.430793928e+03 9.91473e-01 9.96071e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99987e-01 9.98660e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96873e-01
2.430802031e+03 9.91459e-01 9.95888e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99990e-01 9.98827e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96873e-01
2.430810134e+03 9.91350e-01 9.95655e-01 1.00000e+00 9.99999e-01 1.00000e+00 9.99992e-01 9.98949e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96873e-01
2.430818236e+03 9.91014e-01 9.95353e-01 1.00000e+00 9.99998e-01 1.00000e+00 9.99994e-01 9.98913e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96873e-01
2.430826339e+03 9.90534e-01 9.94954e-01 1.00000e+00 9.99970e-01 1.00000e+00 9.99995e-01 9.98857e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96873e-01
2.430834442e+03 9.89886e-01 9.94412e-01 1.00000e+00 9.99961e-01 1.00000e+00 9.99996e-01 9.98756e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96873e-01
2.430842545e+03 9.89295e-01 9.93669e-01 1.00000e+00 9.99997e-01 1.00000e+00 9.99996e-01 9.98869e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96873e-01
2.430850647e+03 9.88299e-01 9.92662e-01 1.00000e+00 9.99999e-01 1.00000e+00 9.99997e-01 9.98874e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96873e-01
2.430858750e+03 9.87191e-01 9.91404e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99997e-01 9.99019e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96873e-01
2.430866853e+03 9.85906e-01 9.90165e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99997e-01 9.98966e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96873e-01
2.430874956e+03 9.84916e-01 9.89476e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99998e-01 9.98658e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96873e-01
2.430883059e+03 9.84637e-01 9.89462e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99998e-01 9.98389e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96873e-01
2.430891162e+03 9.84901e-01 9.89564e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99998e-01 9.98553e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96873e-01
2.430899265e+03 9.84431e-01 9.89271e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99998e-01 9.98373e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96873e-01
2.430907368e+03 9.83467e-01 9.88337e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99999e-01 9.98336e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96873e-01
2.430915471e+03 9.82197e-01 9.86624e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99999e-01 9.98779e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96873e-01
2.430923574e+03 9.79805e-01 9.84036e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99999e-01 9.98967e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96873e-01
